CODIGO,DESCRIPCION,MARCA,HIPERFAMILIA,FAMILIA,SUBFAMILIA,COSTO_PROMEDIO,PRECIO_IVA,SOCIO_IVA,PEM_DISP,PEM_TRANS,PEM_BOD,SEM_DISP,SEM_BOD,CEM_DISP,CEM_BOD,MEM_DISP,MEM_BOD,IEM_DISP,IEM_TRANS,TEM_DISP,TEM_TRANS,RCE_DISP,CD_DISP,CD_TRANS
10450,AGOREX TAPAGOTERAS 1 GL HENKEL (2300255) (E4),Henkel,FERRETERIA,QUIMICOS Y PEGAMENTOS,ADHESIVO CONTACTO,26269,67970,67970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10455,AGOREX TAPAGOTERAS CARTUCHO 310 ML HENKEL (1702031) (E12),Henkel,FERRETERIA,QUIMICOS Y PEGAMENTOS,ADHESIVO CONTACTO,4967,16340,16340,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0
10467,AGOREX ADHESIVO MONTAJE PL500 - 800GRS HENKEL (1444596) (E12),Henkel,FERRETERIA,QUIMICOS Y PEGAMENTOS,ADHESIVO CONTACTO,6562,14100,14100,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
10468,AGOREX ADHESIVO MONTAJE PL500 - 1 GL HENKEL (1444595) (E6),Henkel,FERRETERIA,QUIMICOS Y PEGAMENTOS,ADHESIVO CONTACTO,23323,43430,43430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10486,TIERRA ROJA IMPORT  1 KG UNIVERSAL (241-1),IBERICA,FERRETERIA,HERRAMIENTAS MANUALES,MEDICION,912,1879,1879,0,0,0,22,22,0,0,0,0,0,0,0,0,0,0,0
10540,SOLDADURA ESTAÑO 50% CARRETE 1/2KG INDEPP(101-01)(E10),INDEPP,MAQUINARIA Y HERRAMIENTAS,SOLDADORAS,ELECTRODOS,15564,32316,32316,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0
10544,PASTA SOLDAR 50GR INDEPP(201-01)(E18),INDEPP,MAQUINARIA Y HERRAMIENTAS,SOLDADORAS,ELECTRODOS,589,1390,1390,0,0,0,25,25,0,0,0,0,0,0,0,0,0,0,0
10545,PASTA SOLDAR 100GR INDEPP(201-02)(E12),INDEPP,MAQUINARIA Y HERRAMIENTAS,SOLDADORAS,ELECTRODOS,857,1790,1790,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0
10546,PASTA SOLDAR 250GR INDEPP(201-03)(E12),INDEPP,MAQUINARIA Y HERRAMIENTAS,SOLDADORAS,ELECTRODOS,2135,6760,6760,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0
10547,PASTA SOLDAR 500GR INDEPP(201-04)(E6),INDEPP,MAQUINARIA Y HERRAMIENTAS,SOLDADORAS,ELECTRODOS,3771,7630,7630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10578,MASILLA MAGICA TRAD GL. S/CATAL (e=4),Sherwinwillians,TERMINACIONES,PINTURA,PASTAS Y TEXTURAS,33740,57210,57210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10580,MASILLA MAGICA TRAD 700 ML. S/CATAL  (e=12),Sherwinwillians,TERMINACIONES,PINTURA,PASTAS Y TEXTURAS,6631,13680,13680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10581,MASILLA MAGICA TRAD 350 ML.S/CATAL (e=24),Sherwinwillians,TERMINACIONES,PINTURA,PASTAS Y TEXTURAS,3483,7160,7160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10583,CATALIZADOR GRANDE P/MASILLA 28 GRS. (e=40),Sherwinwillians,TERMINACIONES,PINTURA,PASTAS Y TEXTURAS,894,2650,2650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
